Income,Lot_Size,Ownership,Baldness
60,18.4,owner,1
85.5,16.8,owner,1
64.8,21.6,owner,1
61.5,20.8,owner,1
87,23.6,owner,1
110.1,19.2,owner,0
108,17.6,owner,1
82.8,22.4,owner,0
69,20,owner,1
93,20.8,owner,1
51,22,owner,1
81,20,owner,0
75,19.6,non-owner,1
52.8,20.8,non-owner,0
64.8,17.2,non-owner,0
43.2,20.4,non-owner,1
84,17.6,non-owner,0
49.2,17.6,non-owner,0
59.4,16,non-owner,0
66,18.4,non-owner,0
47.4,16.4,non-owner,0
33,18.8,non-owner,0
51,14,non-owner,1
63,14.8,non-owner,1
