"","Price","Age","Mileage","Fuel_Type","Horse_Power","Metalic_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","Pred.Price"
"2",13750,23,72937,"Diesel",90,"1","0",2000,"3",210,1165,15803.531185629
"4",14950,26,48000,"Diesel",90,"0","0",2000,"3",210,1165,15789.4753618177
"9",21500,27,19700,"Petrol",192,"0","0",1800,"3",100,1185,20551.9060234869
"10",12950,23,71138,"Diesel",69,"0","0",1900,"3",185,1105,13872.0442082341
"12",19950,22,43610,"Petrol",192,"0","0",1800,"3",100,1185,20850.4506037696
"14",21500,31,23000,"Petrol",192,"1","0",1800,"3",100,1185,19963.5084017962
"16",22000,28,18739,"Petrol",192,"0","0",1800,"3",100,1185,20432.6431463339
"17",22750,30,34000,"Petrol",192,"1","0",1800,"3",100,1185,19926.3038056575
"20",16950,30,64359,"Petrol",110,"1","0",1600,"3",85,1105,15164.8500482913
"21",15950,30,67660,"Petrol",110,"1","0",1600,"3",85,1105,15113.4007874749
"22",16950,29,43905,"Petrol",110,"0","1",1600,"3",100,1170,17034.7914489058
"23",15950,28,56349,"Petrol",110,"1","0",1600,"3",85,1120,15885.1536884655
"24",16950,28,32220,"Petrol",110,"1","0",1600,"3",85,1120,16261.2273674232
"26",15950,25,28450,"Petrol",110,"1","0",1600,"3",85,1120,16722.709404581
"33",15950,27,29510,"Petrol",97,"1","0",1400,"3",85,1100,15598.3555995143
"34",14950,26,32692,"Petrol",97,"1","0",1400,"3",85,1100,15683.0020548942
"35",15500,22,41000,"Petrol",97,"1","0",1400,"3",85,1100,16090.4778287942
"37",15950,25,25000,"Petrol",97,"0","0",1400,"3",85,1100,15937.1302619001
"38",14950,23,10000,"Petrol",97,"1","0",1400,"3",85,1100,16439.4016664743
"39",15750,32,25329,"Petrol",97,"1","0",1400,"3",85,1100,14992.3155734131
"42",16750,27,44068,"Petrol",97,"1","0",1400,"3",85,1100,15371.4551635963
"47",17950,27,79375,"Diesel",90,"1","0",2000,"5",234,1255,17128.0934780526
"49",17950,22,72215,"Diesel",90,"1","0",2000,"5",234,1255,17910.8939000699
"50",21950,31,64982,"Petrol",192,"1","0",1800,"5",100,1195,19527.1639488891
"51",17950,22,62636,"Diesel",90,"1","0",2000,"5",234,1255,18060.1918308061
"52",15750,30,57086,"Petrol",97,"1","0",1400,"5",85,1110,14983.8195561622
"53",20500,26,56000,"Petrol",110,"1","1",1600,"5",100,1180,17466.9876047233
"55",15500,25,49163,"Petrol",110,"0","1",1600,"5",100,1165,17380.8117036346
"56",13250,32,45725,"Petrol",110,"1","0",1600,"5",85,1075,14532.8406711799
"57",15250,28,43210,"Petrol",97,"0","0",1400,"5",85,1110,15468.5723393618
"59",18950,23,39704,"Petrol",110,"1","1",1600,"5",100,1180,18123.6994028585
"60",15999,30,38950,"Petrol",110,"1","0",1600,"5",85,1130,16105.8372762387
"61",14950,22,37400,"Petrol",97,"1","0",1400,"5",85,1110,16364.5726992841
"62",16500,27,37177,"Petrol",110,"0","0",1600,"5",85,1130,16536.1941471286
"64",17950,30,33511,"Petrol",110,"1","0",1600,"5",85,1130,16190.6093239759
"66",16950,26,32181,"Petrol",110,"1","0",1600,"5",19,1075,15549.3828618063
"67",18950,28,30993,"Petrol",110,"1","0",1600,"5",85,1130,16498.3367499042
"71",15950,28,29206,"Petrol",97,"1","0",1400,"5",85,1110,15686.8381522891
"72",12995,32,29198,"Petrol",97,"1","0",1400,"5",85,1060,14060.0718580871
"73",18950,28,28817,"Petrol",110,"1","0",1598,"5",85,1130,16532.2518033839
"74",15750,23,28227,"Petrol",97,"1","0",1400,"5",85,1110,16373.301742708
"75",19950,28,28000,"Petrol",110,"0","0",1600,"5",85,1130,16544.9855344009
"76",16950,23,28000,"Petrol",110,"1","0",1600,"5",85,1115,16889.2123574276
"77",18750,31,25266,"Petrol",110,"1","0",1600,"5",85,1130,16184.8745945923
"79",16895,29,22575,"Petrol",110,"1","0",1600,"5",85,1115,16168.3202814412
"81",18950,25,20019,"Petrol",110,"1","1",16000,"5",100,1180,18162.0270929275
"82",17250,29,20000,"Petrol",110,"1","0",1600,"5",85,1115,16208.4541337897
"83",15450,25,17003,"Petrol",97,"1","0",1400,"5",85,1110,16279.7566076429
