"","Price","Age","Mileage","Fuel_Type","Horse_Power","Metalic_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","Pred.Price"
"1",13500,23,46986,"Diesel",90,"1","0",2000,"3",210,1165,16208.0024874911
"3",13950,24,41711,"Diesel",90,"1","0",2000,"3",210,1165,16155.9774507386
"5",13750,30,38500,"Diesel",90,"0","0",2000,"3",210,1170,15509.5707582198
"6",12950,32,61000,"Diesel",90,"0","0",2000,"3",210,1170,14890.4046380675
"7",16900,27,94612,"Diesel",90,"1","0",2000,"3",210,1245,16672.6247668718
"8",18600,30,75889,"Diesel",90,"1","0",2000,"3",210,1245,16561.7177747136
"11",20950,25,31461,"Petrol",192,"0","0",1800,"3",100,1185,20637.0814969166
"13",19600,25,32189,"Petrol",192,"0","0",1800,"3",100,1185,20625.7349165245
"15",22500,32,34131,"Petrol",192,"1","0",1800,"3",100,1185,19655.7800712073
"18",17950,24,21716,"Petrol",110,"1","0",1600,"3",85,1105,16634.9281493984
"19",16750,24,25563,"Petrol",110,"0","0",1600,"3",19,1065,15703.0273252381
"25",16250,29,25813,"Petrol",110,"1","0",1600,"3",85,1120,16226.8456397419
"27",17495,27,34545,"Petrol",110,"1","0",1600,"3",85,1120,16359.230992303
"28",15750,29,41415,"Petrol",110,"1","0",1600,"3",85,1120,15983.6734594154
"29",16950,28,44142,"Petrol",110,"0","0",1600,"3",85,1120,16075.4115275403
"30",17950,30,11090,"Petrol",110,"1","0",1600,"3",85,1120,16322.0767726935
"31",12950,29,9750,"Petrol",97,"1","0",1400,"3",19,1100,15637.8522367391
"32",15750,22,35199,"Petrol",97,"1","0",1400,"3",85,1100,16180.8919948033
"36",15750,26,43000,"Petrol",97,"0","0",1400,"3",85,1100,15522.3419578037
"40",14750,27,27500,"Petrol",97,"0","0",1400,"3",85,1100,15629.6833832892
"41",13950,22,49059,"Petrol",97,"0","0",1400,"3",85,1100,15964.8705604151
"43",13950,22,46961,"Petrol",97,"0","0",1400,"3",85,1100,15997.5699088527
"44",16950,27,110404,"Diesel",90,"0","0",2000,"5",234,1255,16644.4766607631
"45",16950,22,100250,"Diesel",90,"0","0",2000,"5",234,1255,17473.9414532391
"46",19000,23,84000,"Diesel",90,"0","0",2000,"5",234,1270,17919.9504608012
"48",15800,22,75048,"Petrol",97,"1","0",1400,"5",85,1110,15777.7923990065
"54",21950,27,49866,"Petrol",192,"1","0",1800,"5",100,1195,20299.7252984824
"58",15250,26,43000,"Petrol",97,"0","0",1400,"5",85,1110,15740.3273648161
"63",18750,31,36544,"Petrol",110,"1","0",1600,"5",85,1130,16009.0961142871
"65",17950,27,32809,"Petrol",97,"1","0",1400,"5",85,1110,15764.9229176345
"68",14950,22,30400,"Petrol",97,"1","0",1400,"5",85,1110,16473.6744338236
"69",22250,22,30000,"Diesel",110,"1","0",2000,"5",234,1275,19625.4105613659
"70",15950,25,29719,"Petrol",97,"1","0",1400,"5",85,1110,16081.5655138708
"78",18450,27,23489,"Petrol",110,"0","0",1600,"5",85,1115,16422.5566855209
"80",14900,30,22000,"Petrol",97,"1","0",1400,"5",85,1110,15530.6686215983
"87",14900,30,7000,"Petrol",97,"1","0",1400,"5",85,1100,15546.4726457419
"89",15950,19,51884,"Petrol",97,"1","0",1400,"3",85,1100,16323.5631776746
"90",21950,19,50005,"Diesel",110,"1","0",2000,"3",234,1265,19498.3509431289
"92",22250,20,37500,"Diesel",90,"1","0",2000,"3",234,1260,18829.4352504998
"96",19950,17,30351,"Diesel",90,"1","0",1995,"3",234,1260,19343.5822535161
"97",15950,19,29435,"Petrol",97,"1","0",1400,"3",85,1100,16673.4524403428
"99",18750,11,24500,"Petrol",110,"1","0",1600,"3",85,1120,18663.6477687126
"100",17450,18,23902,"Petrol",97,"1","0",1400,"3",85,1100,16893.9305552243
"101",18990,20,23175,"Petrol",110,"1","0",1600,"3",85,1120,17476.130288083
"105",19450,11,14635,"Petrol",110,"1","1",1600,"3",100,1155,19580.3522091465
"110",32500,4,1,"Diesel",116,"0","0",2000,"5",283,1480,27164.1877796911
"114",24950,8,13253,"Diesel",116,"1","0",2000,"5",234,1320,22932.9121512101
"115",22950,7,10000,"Diesel",116,"1","0",2000,"5",234,1270,22027.9272374936
"117",21950,8,10841,"Diesel",90,"1","0",2000,"5",234,1270,21073.818661034
"120",22250,17,57313,"Diesel",110,"1","0",2000,"5",234,1275,19870.9161127002
"121",18950,13,57037,"Petrol",110,"0","0",1600,"5",85,1115,17779.0526436865
"122",19950,19,51099,"Diesel",90,"1","0",2000,"5",234,1255,18642.7300354166
"125",16950,17,36012,"Petrol",110,"0","0",1600,"5",85,1130,17896.7616600393
"129",17950,17,33740,"Petrol",97,"1","0",1400,"5",85,1135,17637.7857715627
"130",15850,13,33477,"Petrol",110,"1","0",1600,"5",19,1075,17274.3162821725
"133",16250,19,29441,"Petrol",97,"1","0",1400,"5",85,1110,16891.3443315828
"137",18450,19,27371,"Petrol",97,"0","0",1400,"5",85,1135,17468.5707906134
"138",16250,13,25170,"Petrol",110,"1","0",1600,"5",19,1105,18057.7450901841
"141",16450,20,22588,"Petrol",97,"1","0",1400,"5",85,1110,16863.9139429879
"142",23950,19,21684,"Petrol",192,"1","0",1800,"5",19,1185,21594.9113683987
"143",19950,13,21428,"Petrol",110,"1","0",1600,"5",85,1130,18661.0312778077
"147",20500,20,20000,"Petrol",110,"0","1",1600,"5",100,1165,18506.5500492337
"155",21750,13,13178,"Petrol",110,"1","0",1600,"5",85,1130,18789.6154649435
"158",18900,11,12500,"Petrol",110,"1","0",1600,"5",85,1115,18741.6866101312
"159",19750,17,11999,"Petrol",110,"1","0",1600,"5",85,1130,18271.027367396
"161",18950,16,11000,"Petrol",110,"1","0",1600,"4",85,1105,17875.875212689
"162",20750,17,10000,"Petrol",110,"0","0",1598,"5",85,1105,17757.220188057
"163",19600,9,7650,"Petrol",110,"1","0",1600,"5",85,1115,19085.7604996232
"164",19500,14,6500,"Petrol",110,"1","0",1600,"4",85,1100,18105.5013119477
"166",19950,14,6000,"Petrol",110,"0","0",1600,"5",85,1130,18767.2505140236
"167",19950,14,5459,"Petrol",110,"1","0",1600,"5",85,1130,18775.6825195073
"168",20950,14,5278,"Petrol",110,"1","1",1600,"4",85,1150,19214.4743926682
"170",17795,9,1,"Petrol",98,"1","0",1400,"4",19,1065,17742.6998135759
"172",23750,8,11000,"Petrol",110,"1","0",1600,"5",85,1130,19494.7666238928
"175",21950,8,9788,"Petrol",110,"1","0",1600,"5",85,1130,19513.6568099302
"176",19950,8,8574,"Petrol",110,"1","0",1600,"5",85,1130,19532.5781678918
"180",22500,6,3000,"Petrol",110,"0","0",1600,"5",85,1130,19887.9362939275
"182",18700,7,450,"Petrol",97,"1","0",1400,"5",85,1110,18954.0887986682
"184",21500,2,15,"Petrol",110,"1","0",1600,"5",85,1130,20471.4243375639
"188",9500,38,180638,"Diesel",90,"0","0",2000,"4",210,1160,12002.2999798238
"190",7750,43,178858,"CNG",110,"0","0",1600,"3",197,1084,9666.75893557353
"193",4750,44,131273,"Diesel",69,"1","0",1800,"5",64,1110,10224.7143613448
"196",11950,37,118217,"Petrol",110,"1","0",1600,"5",85,1075,12731.7781747433
"201",11495,44,96829,"Petrol",110,"1","0",1600,"5",85,1075,12125.4438246842
"202",11250,40,96518,"Petrol",97,"1","0",1400,"3",69,1025,11173.9480728423
"204",10450,35,91456,"Diesel",69,"1","0",1900,"3",185,1110,12053.4694937493
"220",12950,38,74319,"Petrol",110,"1","0",1600,"5",85,1075,13281.7297512936
"221",11950,43,74285,"Petrol",110,"1","0",1600,"5",85,1075,12611.0547404588
"222",12450,44,74172,"Petrol",110,"1","0",1600,"5",163,1615,24249.786946137
"224",14950,44,71793,"CNG",110,"1","0",1600,"4",197,1067,10830.653786725
"232",12950,33,62000,"Petrol",110,"1","0",1600,"5",19,1075,14144.9381516665
"233",11950,42,61300,"Petrol",97,"1","0",1400,"3",69,1030,11563.3652153607
"234",12900,41,61200,"Petrol",110,"1","0",1600,"3",69,1045,12429.5228066181
"235",11900,41,61000,"Petrol",110,"0","0",1600,"5",85,1075,13086.5962200708
"236",11650,38,60829,"Petrol",110,"1","0",1600,"5",85,1075,13491.9843797133
"237",10950,44,60500,"Petrol",110,"0","0",1600,"5",85,1075,12691.6662409821
"238",13950,35,59500,"Diesel",69,"1","0",1900,"3",64,1110,12551.5344978842
"241",10950,38,58798,"Petrol",110,"1","0",1600,"5",85,1075,13523.6394686918
"242",12450,38,58363,"Petrol",110,"1","0",1600,"3",85,1055,13094.4485481704
"244",13500,33,57711,"Diesel",90,"1","0",2000,"3",210,1165,14698.4331771237
"245",11690,33,57269,"Petrol",110,"1","0",1600,"5",85,1075,14218.6753382531
"249",13500,43,55539,"Petrol",110,"1","0",1600,"5",85,1085,13121.214592568
"253",11750,43,53773,"Petrol",110,"1","0",1600,"5",85,1075,12930.7539945837
"256",12900,42,53350,"Petrol",110,"0","0",1600,"5",85,1075,13071.5878432514
"260",13450,33,51945,"Petrol",110,"1","0",1600,"5",85,1075,14301.6550003514
"263",13500,41,50856,"Petrol",110,"0","0",1600,"4",69,1030,12263.7658878246
"264",12750,40,50640,"Petrol",110,"1","0",1600,"5",85,1075,13382.3077738984
"266",11950,38,49500,"Petrol",110,"1","0",1600,"5",85,1075,13668.5577440844
"267",12495,44,49332,"Petrol",110,"1","0",1600,"5",85,1080,12974.7229689651
"273",13500,35,48052,"Diesel",69,"1","0",1900,"3",185,1105,12620.9698882363
"274",13450,34,48011,"Petrol",110,"1","0",1600,"4",69,1030,13247.7948568975
"278",11495,39,46694,"Petrol",110,"0","0",1600,"3",69,1040,12815.10204242
"281",12950,35,46304,"Petrol",97,"1","0",1400,"5",85,1060,13390.7354306694
"282",12950,40,45886,"Petrol",110,"1","0",1600,"5",85,1080,13565.396141119
"284",13950,40,45600,"Petrol",110,"1","1",1600,"5",85,1105,14114.8172438042
"285",11950,41,45287,"Petrol",110,"1","0",1600,"5",85,1075,13331.4984421879
"286",12950,39,45081,"Petrol",110,"1","0",1600,"5",85,1075,13603.1911237939
"288",9950,37,44757,"Petrol",97,"0","0",1400,"3",69,1025,12383.4160160409
"293",10500,35,43000,"Petrol",110,"0","0",1600,"3",69,1050,13627.6259401815
"294",12295,33,42823,"Petrol",110,"1","0",1600,"5",85,1075,14443.8301464185
"296",10950,38,41754,"Petrol",110,"0","0",1600,"3",69,1040,13026.3376817898
"297",12950,44,41499,"CNG",110,"1","0",1600,"5",197,1103,12087.5623871327
"300",13750,39,40000,"Petrol",110,"1","0",1600,"3",85,1055,13246.4125830826
"304",11500,39,39524,"Petrol",97,"1","0",1398,"3",69,1025,12196.4953821721
"305",13950,44,39516,"Petrol",97,"1","0",1400,"5",85,1060,12288.3640608668
"306",11895,41,39439,"Petrol",97,"0","0",1400,"5",85,1060,12692.287140074
"313",11750,42,38078,"Petrol",97,"0","0",1400,"3",69,1025,11816.3097232082
