ID,LocX,LocY,RegDens,RegPop,MedHHInc,MeanHHSz
00601,-66.74947,18.180103,70,19143,$9888,3.24
00602,-67.18025,18.363285,83,42042,$11384,3.10
00603,-67.13422,18.448619,86,55592,$10748,2.84
00604,-67.137,18.498987,83,3844,$31199,3.00
00606,-66.95881,18.182151,65,6449,$9243,3.20
00610,-67.13605,18.288319,79,28005,$12629,3.01
00612,-66.6988,18.449732,81,72865,$13000,2.84
00616,-66.67669,18.426748,78,10525,$10476,2.97
00617,-66.55576,18.455499,81,23223,$11511,2.97
00622,-67.16746,18.003125,69,8284,$13634,2.64
00623,-67.15223,18.08643,80,38627,$13565,2.75
00624,-66.72603,18.055399,77,26719,$12194,3.47
00627,-66.85644,18.435246,79,35244,$13168,3.07
00631,-66.85175,18.186739,68,2169,$8345,3.05
00637,-66.94864,18.073078,78,25935,$12485,2.91
00638,-66.49835,18.308139,70,19648,$10986,3.26
00641,-66.70519,18.268896,71,35095,$9901,3.14
00646,-66.27689,18.442798,84,34114,$16378,3.11
00647,-66.93993,17.964529,73,5352,$9607,2.87
00650,-66.56773,18.363331,77,12207,$11544,3.11
00652,-66.61217,18.457453,75,2903,$12097,2.84
00653,-66.90098,17.992112,78,16536,$9770,3.04
00656,-66.79168,18.038866,76,23072,$11361,3.19
00659,-66.80039,18.432956,80,38925,$12378,3.06
00660,-67.12086,18.139108,84,16614,$16745,2.82
00662,-67.01974,18.478855,80,42178,$11753,2.94
00664,-66.59244,18.212565,73,17318,$11220,3.35
00667,-67.04227,18.017819,74,26637,$11426,2.91
00669,-66.87504,18.288418,77,32246,$9758,3.12
00670,-66.97604,18.241343,68,11174,$9556,3.08
00674,-66.48697,18.426137,81,45874,$12820,2.97
00676,-67.08425,18.37956,79,39697,$11271,3.11
00677,-67.23675,18.336121,81,14767,$11460,2.86
00678,-66.93276,18.442334,81,27271,$12005,3.07
00680,-67.12655,18.205232,84,75090,$12042,2.77
00682,-67.15429,18.208402,90,25138,$11121,2.84
00683,-67.04525,18.092807,78,35165,$13036,2.86
00685,-66.98104,18.332595,76,44649,$11014,2.94
00687,-66.41529,18.31708,79,29965,$12090,3.40
00688,-66.61348,18.40415,75,13501,$11729,3.01
00690,-67.09867,18.495369,85,5249,$12629,2.89
00692,-66.33186,18.419666,81,35223,$13691,3.16
00693,-66.39211,18.440667,83,64054,$13857,3.12
00698,-66.85588,18.06547,78,46384,$11924,3.07
006HH,-66.83453,18.473441,,0,$0,0.00
006XX,-67.88803,18.102537,,0,$0,0.00
00703,-66.12827,18.246205,80,28752,$12463,3.12
00704,-66.22291,17.970112,85,7593,$11340,3.06
00705,-66.26542,18.12942,80,26493,$12725,3.13
00707,-65.91018,18.014505,77,12741,$11638,3.19
00714,-66.05553,17.987288,83,19117,$11484,3.09
00715,-66.55869,18.003492,63,2268,$10556,2.78
00716,-66.59966,17.999066,89,38859,$15610,3.06
00717,-66.61375,18.004303,99,23083,$11697,2.55
00718,-65.74294,18.22048,74,23753,$11461,2.97
00719,-66.25099,18.294571,82,29921,$12472,3.32
00720,-66.42266,18.217827,73,23844,$9945,3.35
00723,-66.01311,18.023196,74,20152,$12021,3.06
00725,-66.04502,18.233927,88,144024,$16558,2.97
00728,-66.65218,18.013353,89,52069,$14351,3.26
00729,-65.8909,18.35615,84,50982,$14131,3.24
00730,-66.61728,18.022626,98,38828,$10992,2.89
00731,-66.61192,18.077329,74,21351,$13246,3.34
00735,-65.65988,18.258444,77,18004,$16440,2.92
00736,-66.15377,18.112895,80,49673,$13511,3.00
00738,-65.66116,18.32265,83,38173,$15859,2.86
00739,-66.16272,18.16984,82,40450,$15571,3.23
00740,-65.62762,18.331711,93,2539,$9748,2.81
00741,-65.75766,18.160755,81,5819,$13195,3.06
00745,-65.82277,18.366213,80,52362,$15006,3.14
00751,-66.26535,17.993803,72,23895,$11298,3.04
00754,-65.96831,18.15633,79,40997,$12226,3.10
00757,-66.39457,17.98631,77,21665,$11895,3.19
00765,-65.45604,18.125664,65,9106,$9331,2.74
00766,-66.48209,18.126023,79,27913,$11728,3.55
00767,-65.89704,18.072752,78,39246,$12292,3.19
