ID,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
00088185,2,7,2,6,$23.00,$20.00,$14.14,$20.00,20,101,12,28,56,5,12,23,A,1,13,46,F,U,$209400,28,$0
00149111,0,8,0,6,$50.00,$0.00,$35.63,,25,89,12,12,61,6,6,25,A,1,24,48,M,H,$195500,31,$76622
00045648,2,5,2,4,$6.00,$15.00,$13.20,$15.00,16,44,14,30,32,6,15,15,S,1,33,66,F,H,$138100,53,$65679
00040007,3,8,3,5,$19.00,$18.00,$11.38,$18.00,21,56,12,34,47,6,17,21,A,0,23,72,F,H,$121700,53,$38353
00140966,2,3,1,1,$3.00,$10.00,$7.67,$10.00,18,21,11,18,16,5,8,7,N,0,49,37,M,H,$131000,34,$72578
00056118,0,1,0,0,$25.00,$0.00,$25.00,,19,19,9,9,12,3,3,4,F,0,41,41,M,U,$162400,23,$0
00185012,2,7,0,4,$17.00,$17.00,$11.57,,18,112,6,14,41,1,1,18,E,1,49,51,M,U,$111200,34,$45159
00092387,5,5,3,3,$15.00,$10.80,$10.80,$9.67,15,23,17,27,27,6,11,9,N,1,13,73,M,H,$124000,36,$57602
00042811,2,3,0,0,$5.00,$17.50,$13.33,,17,32,10,25,25,4,4,9,A,0,33,67,M,H,$162000,57,$65938
00190459,3,18,3,14,$13.00,$11.67,$9.06,$11.67,21,106,4,12,41,2,6,20,E,1,20,55,F,U,$100600,47,$0
00190199,3,6,2,4,$25.00,$20.67,$17.00,$22.50,16,53,4,12,19,2,6,9,E,0,23,,M,U,$95600,33,$0
00088634,3,4,2,2,$6.00,$10.33,$8.50,$13.00,19,28,13,26,25,6,12,10,A,1,20,53,M,H,$44800,38,$32241
00185075,10,29,8,21,$26.00,$19.70,$11.45,$20.00,17,125,30,48,100,6,17,35,S,1,53,82,M,U,$82400,38,$0
00045412,2,16,1,9,$10.00,$10.00,$6.19,$10.00,24,130,5,19,45,2,8,16,A,1,05,,F,U,$82000,47,$0
00029506,2,4,1,2,$15.00,$13.00,$8.50,$11.00,18,53,12,30,35,6,13,13,A,0,40,37,M,H,$105800,26,$50625
00134626,1,1,1,1,$23.00,$23.00,$23.00,$23.00,16,16,12,17,14,5,7,6,F,0,12,,M,H,$165700,29,$66925
00023681,2,2,0,0,$21.00,$18.00,$18.00,,20,32,11,26,25,5,5,10,A,0,21,38,F,H,$167700,38,$61733
00190274,4,21,3,14,$5.00,$5.50,$5.62,$5.00,16,76,4,12,30,2,6,13,E,1,23,,M,U,$461800,30,$0
00189964,1,1,1,1,$25.00,$25.00,$25.00,$25.00,16,16,4,6,5,2,3,3,E,0,01,,U,U,$177200,21,$0
00189678,1,1,1,1,$25.00,$25.00,$25.00,$25.00,24,24,4,9,8,2,5,5,E,0,07,,U,U,$123800,21,$0
00190349,2,18,2,11,$10.00,$10.00,$9.00,$10.00,17,91,4,12,36,2,6,17,E,1,33,,M,U,$250800,46,$0
00044990,3,12,1,6,$24.00,$24.33,$17.75,$25.00,18,112,13,35,67,6,17,29,A,1,41,85,M,H,$81900,60,$38168
00112271,4,7,3,4,$30.00,$23.50,$16.43,$26.67,17,53,12,32,46,5,15,17,S,1,43,29,M,H,$147500,32,$80882
00039823,3,15,2,9,$10.00,$9.33,$5.73,$9.00,16,124,13,32,69,5,13,28,S,1,26,57,F,H,$81700,23,$34638
00092731,1,4,0,1,$15.00,$15.00,$11.25,,18,54,11,28,38,5,5,15,A,0,35,44,F,U,$157200,32,$89778
00043638,3,14,3,11,$19.00,$17.67,$15.29,$17.67,16,124,16,33,70,6,14,28,S,1,30,70,M,H,$129200,32,$41502
00187817,4,12,3,9,$6.00,$5.50,$5.25,$5.67,18,55,8,16,25,2,6,10,E,1,00,,F,U,$445500,15,$0
00173865,8,13,8,10,$7.00,$7.50,$6.77,$7.50,21,44,12,32,39,6,17,17,S,1,40,39,F,U,$600000,30,$0
00143778,3,11,3,7,$26.00,$22.67,$15.55,$22.67,17,92,13,35,70,6,17,28,A,0,13,,F,H,$560000,25,$116257
00174368,1,1,1,1,$20.00,$20.00,$20.00,$20.00,17,17,12,17,15,4,6,5,F,0,11,,F,U,$275000,46,$0
00141009,2,4,2,3,$6.00,$5.50,$6.25,$5.50,20,28,5,10,11,2,5,5,E,0,00,46,F,U,$227100,23,$40005
00045624,2,4,0,1,$15.00,$13.50,$10.50,,18,42,12,31,31,6,6,13,A,0,21,57,M,H,$244800,44,$60735
00131573,4,9,2,4,$5.00,$9.25,$8.44,$6.00,19,80,12,32,47,6,15,21,A,0,25,41,F,H,$191400,40,$41158
00190441,1,12,1,8,$25.00,$25.00,$10.08,$25.00,19,102,4,12,41,2,6,20,E,1,33,,U,U,$197200,38,$0
00044959,3,27,1,12,$10.00,$10.67,$9.07,$12.00,16,126,15,33,79,5,14,31,S,1,41,75,M,H,$163600,44,$68774
00190051,2,2,1,1,$21.00,$18.00,$18.00,$15.00,26,29,4,10,9,2,5,5,E,0,11,,M,U,$147200,36,$0
00187570,3,7,2,6,$10.00,$6.67,$5.71,$7.50,19,43,6,14,16,2,6,8,E,0,33,,M,U,$203300,49,$0
00045319,3,10,1,5,$15.00,$12.33,$7.50,$12.00,18,104,12,28,58,5,12,25,A,1,24,85,M,U,$60300,43,$0
00055620,4,14,3,10,$5.00,$5.00,$5.43,$5.00,17,110,11,27,57,4,11,23,S,1,38,,F,U,$40500,30,$0
00187520,2,2,2,2,$15.00,$10.00,$10.00,$10.00,23,33,6,13,13,2,6,6,E,0,29,,F,U,$55400,61,$0
00007777,1,18,1,7,$12.00,$12.00,$7.50,$12.00,21,102,14,31,75,5,12,26,A,1,33,80,M,H,$159100,42,$99424
00136782,2,2,2,2,$25.00,$20.00,$20.00,$20.00,16,30,14,29,25,6,13,11,A,0,14,39,F,H,$57700,36,$59017
00033989,5,8,4,7,$20.00,$15.00,$12.50,$13.75,16,33,5,12,13,2,6,6,E,1,39,,M,U,$75300,27,$0
00002332,5,5,3,3,$10.00,$16.40,$16.40,$17.33,15,29,24,34,40,9,14,14,A,1,39,,M,U,$42000,27,$40074
00148106,2,8,2,5,$20.00,$17.50,$14.63,$17.50,20,124,13,32,60,6,15,27,A,0,20,53,M,U,$155700,18,$0
00083648,2,5,0,2,$15.00,$10.00,$9.20,,25,53,12,32,43,6,6,17,A,0,01,62,F,H,$181100,17,$91704
00064935,1,1,1,1,$15.00,$15.00,$15.00,$15.00,17,17,10,15,13,4,6,5,F,0,18,25,F,H,$169400,26,$105017
00038941,1,12,0,7,$20.00,$20.00,$21.42,,24,86,11,28,61,6,6,22,A,1,09,40,M,H,$187500,26,$29059
